column_name,category,image_name,object_name,feature_name,channel,parameters,channel_id,data_type
ExecutionTime_05ConvertImageToObjects,Execution,,,ExecutionTime,,05ConvertImageToObjects,,float
ModuleError_06MeasureObjectNeighbors,Execution,,,ModuleError,,06MeasureObjectNeighbors,,integer
ExecutionTime_06MeasureObjectNeighbors,Execution,,,ExecutionTime,,06MeasureObjectNeighbors,,float
ModuleError_07MeasureObjectIntensityMultichannel,Execution,,,ModuleError,,07MeasureObjectIntensityMultichannel,,integer
ExecutionTime_07MeasureObjectIntensityMultichannel,Execution,,,ExecutionTime,,07MeasureObjectIntensityMultichannel,,float
ModuleError_08MeasureObjectIntensityMultichannel,Execution,,,ModuleError,,08MeasureObjectIntensityMultichannel,,integer
ExecutionTime_08MeasureObjectIntensityMultichannel,Execution,,,ExecutionTime,,08MeasureObjectIntensityMultichannel,,float
ModuleError_09MeasureObjectSizeShape,Execution,,,ModuleError,,09MeasureObjectSizeShape,,integer
ExecutionTime_09MeasureObjectSizeShape,Execution,,,ExecutionTime,,09MeasureObjectSizeShape,,float
Intensity_TotalIntensity_FullStack_c1,Intensity,FullStack,,TotalIntensity,1,,Ag107,float
Intensity_MeanIntensity_FullStack_c1,Intensity,FullStack,,MeanIntensity,1,,Ag107,float
Intensity_MedianIntensity_FullStack_c1,Intensity,FullStack,,MedianIntensity,1,,Ag107,float
Intensity_StdIntensity_FullStack_c1,Intensity,FullStack,,StdIntensity,1,,Ag107,float
Intensity_MADIntensity_FullStack_c1,Intensity,FullStack,,MADIntensity,1,,Ag107,float
Intensity_MinIntensity_FullStack_c1,Intensity,FullStack,,MinIntensity,1,,Ag107,float
Intensity_MaxIntensity_FullStack_c1,Intensity,FullStack,,MaxIntensity,1,,Ag107,float
Intensity_TotalArea_FullStack_c1,Intensity,FullStack,,TotalArea,1,,Ag107,integer
Intensity_PercentMaximal_FullStack_c1,Intensity,FullStack,,PercentMaximal,1,,Ag107,float
Intensity_LowerQuartileIntensity_FullStack_c1,Intensity,FullStack,,LowerQuartileIntensity,1,,Ag107,float
Intensity_UpperQuartileIntensity_FullStack_c1,Intensity,FullStack,,UpperQuartileIntensity,1,,Ag107,float
Intensity_TotalIntensity_FullStack_c2,Intensity,FullStack,,TotalIntensity,2,,Pr141,float
Intensity_MeanIntensity_FullStack_c2,Intensity,FullStack,,MeanIntensity,2,,Pr141,float
Intensity_MedianIntensity_FullStack_c2,Intensity,FullStack,,MedianIntensity,2,,Pr141,float
Intensity_StdIntensity_FullStack_c2,Intensity,FullStack,,StdIntensity,2,,Pr141,float
Intensity_MADIntensity_FullStack_c2,Intensity,FullStack,,MADIntensity,2,,Pr141,float
Intensity_MinIntensity_FullStack_c2,Intensity,FullStack,,MinIntensity,2,,Pr141,float
Intensity_MaxIntensity_FullStack_c2,Intensity,FullStack,,MaxIntensity,2,,Pr141,float
Intensity_TotalArea_FullStack_c2,Intensity,FullStack,,TotalArea,2,,Pr141,integer
Intensity_PercentMaximal_FullStack_c2,Intensity,FullStack,,PercentMaximal,2,,Pr141,float
Intensity_LowerQuartileIntensity_FullStack_c2,Intensity,FullStack,,LowerQuartileIntensity,2,,Pr141,float
Intensity_UpperQuartileIntensity_FullStack_c2,Intensity,FullStack,,UpperQuartileIntensity,2,,Pr141,float
Intensity_TotalIntensity_FullStack_c3,Intensity,FullStack,,TotalIntensity,3,,Sm147,float
Intensity_MeanIntensity_FullStack_c3,Intensity,FullStack,,MeanIntensity,3,,Sm147,float
Intensity_MedianIntensity_FullStack_c3,Intensity,FullStack,,MedianIntensity,3,,Sm147,float
Intensity_StdIntensity_FullStack_c3,Intensity,FullStack,,StdIntensity,3,,Sm147,float
Intensity_MADIntensity_FullStack_c3,Intensity,FullStack,,MADIntensity,3,,Sm147,float
Intensity_MinIntensity_FullStack_c3,Intensity,FullStack,,MinIntensity,3,,Sm147,float
Intensity_MaxIntensity_FullStack_c3,Intensity,FullStack,,MaxIntensity,3,,Sm147,float
Intensity_TotalArea_FullStack_c3,Intensity,FullStack,,TotalArea,3,,Sm147,integer
Intensity_PercentMaximal_FullStack_c3,Intensity,FullStack,,PercentMaximal,3,,Sm147,float
Intensity_LowerQuartileIntensity_FullStack_c3,Intensity,FullStack,,LowerQuartileIntensity,3,,Sm147,float
Intensity_UpperQuartileIntensity_FullStack_c3,Intensity,FullStack,,UpperQuartileIntensity,3,,Sm147,float
Intensity_TotalIntensity_FullStack_c4,Intensity,FullStack,,TotalIntensity,4,,Eu153,float
Intensity_MeanIntensity_FullStack_c4,Intensity,FullStack,,MeanIntensity,4,,Eu153,float
Intensity_MedianIntensity_FullStack_c4,Intensity,FullStack,,MedianIntensity,4,,Eu153,float
Intensity_StdIntensity_FullStack_c4,Intensity,FullStack,,StdIntensity,4,,Eu153,float
Intensity_MADIntensity_FullStack_c4,Intensity,FullStack,,MADIntensity,4,,Eu153,float
Intensity_MinIntensity_FullStack_c4,Intensity,FullStack,,MinIntensity,4,,Eu153,float
Intensity_MaxIntensity_FullStack_c4,Intensity,FullStack,,MaxIntensity,4,,Eu153,float
Intensity_TotalArea_FullStack_c4,Intensity,FullStack,,TotalArea,4,,Eu153,integer
Intensity_PercentMaximal_FullStack_c4,Intensity,FullStack,,PercentMaximal,4,,Eu153,float
Intensity_LowerQuartileIntensity_FullStack_c4,Intensity,FullStack,,LowerQuartileIntensity,4,,Eu153,float
Intensity_UpperQuartileIntensity_FullStack_c4,Intensity,FullStack,,UpperQuartileIntensity,4,,Eu153,float
Intensity_TotalIntensity_FullStack_c5,Intensity,FullStack,,TotalIntensity,5,,Yb172,float
Intensity_MeanIntensity_FullStack_c5,Intensity,FullStack,,MeanIntensity,5,,Yb172,float
Intensity_MedianIntensity_FullStack_c5,Intensity,FullStack,,MedianIntensity,5,,Yb172,float
Intensity_StdIntensity_FullStack_c5,Intensity,FullStack,,StdIntensity,5,,Yb172,float
Intensity_MADIntensity_FullStack_c5,Intensity,FullStack,,MADIntensity,5,,Yb172,float
Intensity_MinIntensity_FullStack_c5,Intensity,FullStack,,MinIntensity,5,,Yb172,float
Intensity_MaxIntensity_FullStack_c5,Intensity,FullStack,,MaxIntensity,5,,Yb172,float
Intensity_TotalArea_FullStack_c5,Intensity,FullStack,,TotalArea,5,,Yb172,integer
Intensity_PercentMaximal_FullStack_c5,Intensity,FullStack,,PercentMaximal,5,,Yb172,float
Intensity_LowerQuartileIntensity_FullStack_c5,Intensity,FullStack,,LowerQuartileIntensity,5,,Yb172,float
Intensity_UpperQuartileIntensity_FullStack_c5,Intensity,FullStack,,UpperQuartileIntensity,5,,Yb172,float
ModuleError_10MeasureImageIntensityMultichannel,Execution,,,ModuleError,,10MeasureImageIntensityMultichannel,,integer
ExecutionTime_10MeasureImageIntensityMultichannel,Execution,,,ExecutionTime,,10MeasureImageIntensityMultichannel,,float
Intensity_TotalIntensity_ProbabStack_c1,Intensity,ProbabStack,,TotalIntensity,1,,CellCenter,float
Intensity_MeanIntensity_ProbabStack_c1,Intensity,ProbabStack,,MeanIntensity,1,,CellCenter,float
Intensity_MedianIntensity_ProbabStack_c1,Intensity,ProbabStack,,MedianIntensity,1,,CellCenter,float
Intensity_StdIntensity_ProbabStack_c1,Intensity,ProbabStack,,StdIntensity,1,,CellCenter,float
Intensity_MADIntensity_ProbabStack_c1,Intensity,ProbabStack,,MADIntensity,1,,CellCenter,float
Intensity_MinIntensity_ProbabStack_c1,Intensity,ProbabStack,,MinIntensity,1,,CellCenter,float
Intensity_MaxIntensity_ProbabStack_c1,Intensity,ProbabStack,,MaxIntensity,1,,CellCenter,float
Intensity_TotalArea_ProbabStack_c1,Intensity,ProbabStack,,TotalArea,1,,CellCenter,integer
Intensity_PercentMaximal_ProbabStack_c1,Intensity,ProbabStack,,PercentMaximal,1,,CellCenter,float
Intensity_LowerQuartileIntensity_ProbabStack_c1,Intensity,ProbabStack,,LowerQuartileIntensity,1,,CellCenter,float
Intensity_UpperQuartileIntensity_ProbabStack_c1,Intensity,ProbabStack,,UpperQuartileIntensity,1,,CellCenter,float
Intensity_TotalIntensity_ProbabStack_c2,Intensity,ProbabStack,,TotalIntensity,2,,CellBorder,float
Intensity_MeanIntensity_ProbabStack_c2,Intensity,ProbabStack,,MeanIntensity,2,,CellBorder,float
Intensity_MedianIntensity_ProbabStack_c2,Intensity,ProbabStack,,MedianIntensity,2,,CellBorder,float
Intensity_StdIntensity_ProbabStack_c2,Intensity,ProbabStack,,StdIntensity,2,,CellBorder,float
Intensity_MADIntensity_ProbabStack_c2,Intensity,ProbabStack,,MADIntensity,2,,CellBorder,float
Intensity_MinIntensity_ProbabStack_c2,Intensity,ProbabStack,,MinIntensity,2,,CellBorder,float
Intensity_MaxIntensity_ProbabStack_c2,Intensity,ProbabStack,,MaxIntensity,2,,CellBorder,float
Intensity_TotalArea_ProbabStack_c2,Intensity,ProbabStack,,TotalArea,2,,CellBorder,integer
Intensity_PercentMaximal_ProbabStack_c2,Intensity,ProbabStack,,PercentMaximal,2,,CellBorder,float
Intensity_LowerQuartileIntensity_ProbabStack_c2,Intensity,ProbabStack,,LowerQuartileIntensity,2,,CellBorder,float
Intensity_UpperQuartileIntensity_ProbabStack_c2,Intensity,ProbabStack,,UpperQuartileIntensity,2,,CellBorder,float
Intensity_TotalIntensity_ProbabStack_c3,Intensity,ProbabStack,,TotalIntensity,3,,Background,float
Intensity_MeanIntensity_ProbabStack_c3,Intensity,ProbabStack,,MeanIntensity,3,,Background,float
Intensity_MedianIntensity_ProbabStack_c3,Intensity,ProbabStack,,MedianIntensity,3,,Background,float
Intensity_StdIntensity_ProbabStack_c3,Intensity,ProbabStack,,StdIntensity,3,,Background,float
Intensity_MADIntensity_ProbabStack_c3,Intensity,ProbabStack,,MADIntensity,3,,Background,float
Intensity_MinIntensity_ProbabStack_c3,Intensity,ProbabStack,,MinIntensity,3,,Background,float
Intensity_MaxIntensity_ProbabStack_c3,Intensity,ProbabStack,,MaxIntensity,3,,Background,float
Intensity_TotalArea_ProbabStack_c3,Intensity,ProbabStack,,TotalArea,3,,Background,integer
Intensity_PercentMaximal_ProbabStack_c3,Intensity,ProbabStack,,PercentMaximal,3,,Background,float
Intensity_LowerQuartileIntensity_ProbabStack_c3,Intensity,ProbabStack,,LowerQuartileIntensity,3,,Background,float
Intensity_UpperQuartileIntensity_ProbabStack_c3,Intensity,ProbabStack,,UpperQuartileIntensity,3,,Background,float
ModuleError_11MeasureImageIntensityMultichannel,Execution,,,ModuleError,,11MeasureImageIntensityMultichannel,,integer
ExecutionTime_11MeasureImageIntensityMultichannel,Execution,,,ExecutionTime,,11MeasureImageIntensityMultichannel,,float
