Start_push	End_push	Pushes_duration	X	Y	Z	161Dy(Dy161Di)	162Dy(Dy162Di)	163Dy(Dy163Di)	164Dy(Dy164Di)
33935	34318	384	84	0	84	328.901	18397.775	863.813	127.789
34321	34704	384	85	0	85	346.753	21091.984	1022.393	150.143
34706	35089	384	86	0	86	289.712	18859.082	921.78	141.53
35091	35474	384	87	0	87	304.506	19524.863	962.55	143.302
35477	35860	384	88	0	88	301.363	19836.621	953.981	169.635
35862	36245	384	89	0	89	350.365	21597.568	1067.727	174.409
36247	36630	384	90	0	90	366.062	22962.563	1089.854	161.448
36633	37016	384	91	0	91	274.68	18258.754	873.486	126.01
37018	37401	384	92	0	92	190.256	12753.002	596.194	109.316
37403	37786	384	93	0	93	285.504	18809.568	869.076	131.911
37789	38172	384	94	0	94	260.087	15496.283	814.336	107.479
38174	38557	384	95	0	95	218.467	13903.228	665.457	95.093
38559	38942	384	96	0	96	174.774	10572.277	485.179	86.036
38945	39328	384	97	0	97	223.823	14390.9	704.22	89.844
39330	39713	384	98	0	98	163.891	11225.252	541.186	95.178
39715	40098	384	99	0	99	260.184	17812.104	864.985	148.931
