Start_push	End_push	Pushes_duration	X	Y	Z	161Dy(Dy161Di)	162Dy(Dy162Di)	163Dy(Dy163Di)	164Dy(Dy164Di)
14285	14668	384	33	0	33	1216.641	44.679	16.264	5.386
14671	15054	384	34	0	34	842.555	41.148	4	5.778
15056	15439	384	35	0	35	1153.677	32.878	8.143	8.695
15441	15824	384	36	0	36	1420.431	36.187	8.538	7.513
15827	16210	384	37	0	37	784.917	27.295	9.693	7.455
16212	16595	384	38	0	38	1300.381	36.113	36.051	9.237
16597	16980	384	39	0	39	1338.383	32.21	16.448	8.073
16982	17365	384	40	0	40	1058.054	36.653	13.636	5.52
17368	17751	384	41	0	41	1264.56	36.461	15.86	12.204
17753	18136	384	42	0	42	1106.913	41.552	10.224	10.153
18138	18521	384	43	0	43	1166.457	39.591	7.6	8.353
18524	18907	384	44	0	44	1229.522	34.63	8.885	6.713
18909	19292	384	45	0	45	1348.615	33.875	12.302	4.636
19294	19677	384	46	0	46	1113.271	37.367	12.269	6.764
19680	20063	384	47	0	47	1663.06	64.082	20.085	8.109
20065	20448	384	48	0	48	1310.126	45.93	14.13	8.946
20450	20833	384	49	0	49	972.054	35.168	12.432	4.109
20836	21219	384	50	0	50	1104.696	35.448	9.894	7.993
21221	21604	384	51	0	51	1076.82	34.881	11.494	5.847
21606	21989	384	52	0	52	988.282	23.097	12.791	6.189
21991	22374	384	53	0	53	1215.828	41.692	9.126	10.12
22377	22760	384	54	0	54	1597.252	55.571	9.559	8.517
22762	23145	384	55	0	55	1433.201	36.409	15.746	13.055
23147	23530	384	56	0	56	1162.283	31.803	8.277	11.924
23533	23916	384	57	0	57	2133.617	77.228	19.522	17.131
23918	24301	384	58	0	58	1994.891	51.659	29.493	14.724
24303	24686	384	59	0	59	2145.704	72.049	27.297	9.12
24689	25072	384	60	0	60	1121.342	28.025	14.554	2
25074	25457	384	61	0	61	793.466	27.592	13.412	4.291
25459	25842	384	62	0	62	1376.151	41.842	8.143	11.579
25845	26228	384	63	0	63	1104.79	36.239	9.494	9.68
26230	26613	384	64	0	64	977.285	28.553	9.542	7.971
26615	26998	384	65	0	65	1126.781	24.566	13.012	9.924
27000	27383	384	66	0	66	1267.816	42.741	8.045	11.688
27386	27769	384	67	0	67	1215.008	36.738	16.742	3.571
27771	28154	384	68	0	68	1036.74	35.575	10.547	3.015
28156	28539	384	69	0	69	1192.809	45.936	11.052	5.113
28542	28925	384	70	0	70	1057.629	43.171	10.008	4.389
28927	29310	384	71	0	71	1379.555	33.641	11.399	11.906
29312	29695	384	72	0	72	1305.952	64.085	13.632	14.739
29698	30081	384	73	0	73	1285.435	57.108	9.522	18.622
30083	30466	384	74	0	74	1235.267	34.875	17.856	11.477
30468	30851	384	75	0	75	1252.365	33.591	14.424	5.815
30854	31237	384	76	0	76	1144.02	22.207	9.714	9.582
31239	31622	384	77	0	77	1531.517	59.16	8.11	4.618
31624	32007	384	78	0	78	1113.711	43.786	7.286	9.484
32009	32392	384	79	0	79	1022.298	38.311	9.408	5.113
32395	32778	384	80	0	80	996.773	34.849	7.828	4.633
32780	33163	384	81	0	81	832.342	24.426	9.147	8.499
33165	33548	384	82	0	82	776.693	20.26	16.816	4.193
33551	33934	384	83	0	83	922.195	14.491	7.722	5.648
33936	34319	384	84	0	84	880.218	35.607	3.743	8.597
34321	34704	384	85	0	85	1269.268	39.79	9.608	7.484
34707	35090	384	86	0	86	1381.302	47.041	16.048	9.207
35092	35475	384	87	0	87	1311.021	31.435	11.159	9.371
35477	35860	384	88	0	88	1244.609	33.116	14.269	6.415
35863	36246	384	89	0	89	1311.873	43.601	18.423	8.371
36248	36631	384	90	0	90	1077.489	33.034	10.061	2.753
36633	37016	384	91	0	91	1075.02	39.858	4.102	9.171
37018	37401	384	92	0	92	1172.926	39.187	5.428	9.237
37404	37787	384	93	0	93	1381.276	44.262	10.926	10.939
37789	38172	384	94	0	94	1018.111	32.406	10.955	7.484
38174	38557	384	95	0	95	875.958	18.651	6.951	4.211
38560	38943	384	96	0	96	797.792	23.263	10.257	2.851
38945	39328	384	97	0	97	1009.438	30.745	10.31	6.32
39330	39713	384	98	0	98	1095.952	36.966	9.077	3.702
39716	40099	384	99	0	99	736.478	20.745	6.396	4.506
